,url,top_level_url,com,rights,warriors,reason,especially,connection,containing,inject,address,info,classified,frame,logs,pc,passwords,warning,useful,using,acts,administrator,fix,locked,apply,disabled,browsing,email,unknown,blocked,social,reserved,actions,technical,tracking,suspended,vpn,port,windows,stalkers,situation,registry,often,continue,caused,based form,attention,theft,current,www,result,trick,location,access,identity,desk,hacked,wrong,computing,financial,communications,installed,terms,tcp,dear,message,disk,hard,firewall,program,exposed,significant,auto,virus,malware,webcam,something,prevent,deleted,contacting,security,oops,duped,worm,techsupport,removed,breach,engineering,shut,details,live,visit,anonymous,attack,logins,restart,copyright,follow,alert,password,response,harmful,ancient,carry,technicians,adware,services,type,major,thefts,software,run,page,crash,exe,viruses,cause,call,pop,calling,concealed,leaked,causing
36,https://46.101.250.102/fr/scripts.ba65e570a1ab7b93951c.js,https://46.101.250.102/,1,,,1,,,,,1,1,,1,,1,,,,1,,,1,,1,1,,,1,,,1,,,,,,1,1,,,1,,1,,,,,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,1,1,1,,,,1,,,,,,,,,,,,1,1,,,1,1,,1,,,1,1,1,,,
37,https://a.optnmstr.com/app/js/api.min.js,https://247suportalaert.000webhostapp.com/Chdsdsdasdasdasdad13123123/,1,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,1,,1,,,,,,,1,,,,1,1,,1,,1,1,1,,,,
65,https://i3cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://rngeiu.winpendinghelp.uno/USAjkhgkjsfjhfhjjcjhmjdsbvjhvDJHED/?q=D67O5GNC10-TM4QTOyITOk,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
98,https://a.optnmstr.com/app/js/api.min.js,https://call-bulgaria-support-errortype2949225.000webhostapp.com/call-support/en/windows/,1,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,1,,,,,1,,,,,1,,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,1,,1,,,,,,,1,,,,1,1,,1,,1,1,1,,,,
99,https://i2cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://astrologyeffect.site/codemasg/5847CHfdfffdgfgfgdfgdfgfKar/,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
129,https://cdn.userreport.com/userreport.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,https://cdn.userreport.com/userreport.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,http://hantushig.com/wp-content/plugins/royal-elementor-addons/assets/js/frontend.min.js?ver=1.3.33,http://hantushig.com/fatal/error/S1001010101001CHY/,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,
173,https://i3cdnimg-a.akamaihd.net/__media__/js/min.js?v2.3,https://rgoigh.winpendinghelp.uno/EDfdfdfdfd100110dfSS/,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,
202,https://cdn.userreport.com/userreport.js,https://167.99.227.117/login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
